obs_mode,train_scenario,test_scenario,algo,reward_config,curriculum,seed,reward_mean,reward_std,ch4_avg,ch4_std,violation_rate,violation_rate_std,overall_score,terminated_rate,ph_mean,vfa_max_mean,vfa_cvar95,vfa_worst_episode,score_worst,score_cvar95
full,high_load,shock_load,sac,safety_first,False,42,0.4350181946641687,0.0,1092.5859827458407,0.0,0.0,0.0,0.7554902691129094,0.0,7.1423856882161685,0.17561556768169218,0.0,0.0,0.7554902691129093,-0.7554902691129093
full,high_load,temperature_drop,sac,safety_first,False,42,0.4309911924909885,5.851389114294502e-17,1080.2556603514008,2.396728981215028e-13,0.0,0.0,0.751775721325684,0.0,7.1414293080181634,0.17561556768169218,0.0,0.0,0.751775721325684,-0.751775721325684
full,high_load,cold_winter,sac,safety_first,False,42,0.18970375959504548,0.0,431.25275358111304,5.99182245303757e-14,0.0,0.0,0.5321840683647332,0.0,7.081341827624451,0.17860840260907002,0.0,0.0,0.5321840683647331,-0.5321840683647331
full,high_load,nominal,sac,safety_first,False,123,0.48530964015410377,5.851389114294502e-17,1163.6280247879313,0.0,0.0,0.0,0.8194349339629194,0.0,7.162664679093356,0.13908764054375733,0.0,0.0,0.8194349339629194,-0.8194349339629194
full,high_load,high_load,sac,safety_first,False,123,0.5520164009408678,1.1702778228589004e-16,1265.228627417991,0.0,0.0,0.0,0.8421479332070344,0.0,7.219325206817297,0.13320291210621657,0.0,0.0,0.8421479332070344,-0.8421479332070344
full,high_load,low_load,sac,safety_first,False,123,0.41650012502404204,5.851389114294502e-17,1063.5759063065968,2.396728981215028e-13,0.0,0.0,0.792543659100845,0.0,7.0990776292931965,0.14627960244481472,0.0,0.0,0.792543659100845,-0.792543659100845
full,high_load,shock_load,sac,safety_first,False,123,0.48563619275101566,5.851389114294502e-17,1165.4174548387823,0.0,0.0,0.0,0.8197838265748432,0.0,7.1633159348493125,0.14292211889650147,0.0,0.0,0.8197838265748432,-0.8197838265748432
full,high_load,temperature_drop,sac,safety_first,False,123,0.4857665015210936,5.851389114294502e-17,1163.4435261964943,2.396728981215028e-13,0.0,0.0,0.8194152233081716,0.0,7.162358151458851,0.1405085186703432,0.0,0.0,0.8194152233081716,-0.8194152233081716
full,high_load,cold_winter,sac,safety_first,False,123,-0.02154684858412286,0.0,984.2348052809051,0.0,0.14806629834254142,0.0,-0.3046947119857871,1.0,7.146618043202963,0.802061891842528,0.14806629834254142,0.14806629834254142,-0.3046947119857871,0.3046947119857871
full,high_load,nominal,sac,safety_first,False,456,0.47378648882470464,0.0,1123.0361621487102,0.0,0.0,0.0,0.8022853837666268,0.0,7.237406371337211,0.13318868482648585,0.0,0.0,0.8022853837666268,-0.8022853837666268
full,high_load,high_load,sac,safety_first,False,456,0.4727176522458471,5.851389114294502e-17,1183.407300413724,2.396728981215028e-13,0.02448341725994096,0.0,0.8102098455769549,0.0,7.256869654834341,0.13320442734359042,0.02448341725994096,0.02448341725994096,0.8102098455769549,-0.8102098455769549
full,high_load,low_load,sac,safety_first,False,456,0.19010836781579582,0.0,440.77298989787243,0.0,0.0,0.0,0.5265889582033764,0.0,7.16575449108513,0.1331729408820475,0.0,0.0,0.5265889582033764,-0.5265889582033764
full,high_load,shock_load,sac,safety_first,False,456,0.47206352264936624,5.851389114294502e-17,1119.4404172621666,2.396728981215028e-13,0.0,0.0,0.8012353570124663,0.0,7.23845199640419,0.13318868482648585,0.0,0.0,0.8012353570124663,-0.8012353570124663
full,high_load,temperature_drop,sac,safety_first,False,456,0.47352780901882985,5.851389114294502e-17,1122.5720331757927,0.0,0.0,0.0,0.8019365509379766,0.0,7.238722885156433,0.13318868482648585,0.0,0.0,0.8019365509379766,-0.8019365509379766
full,high_load,cold_winter,sac,safety_first,False,456,0.1779671966034933,2.925694557147251e-17,380.0590470651573,0.0,0.0,0.0,0.5495532069575626,0.0,7.160237347436111,0.13318854915167186,0.0,0.0,0.5495532069575626,-0.5495532069575626
