obs_mode,train_scenario,test_scenario,algo,reward_config,seed,reward_mean,reward_std,ch4_avg,ch4_std,violation_rate,violation_rate_std,overall_score,terminated_rate,ph_mean,vfa_max_mean,vfa_cvar95,vfa_worst_episode,score_worst,score_cvar95,curriculum
full,shock_load,recovery_test,sac,safety_first,42,0.4815228631,5.551115123e-17,1600.540300292,0.0,0.149557061,2.775557562e-17,0.8061108563,0.0,7.245264766,0.2033028818,0.149557061,0.149557061,0.8061108563,-0.8061108563,False
full,shock_load,nominal,sac,safety_first,123,0.6836611883,0.0,1625.4592806852,0.0,0.0128516846,0.0,0.8736716592,0.0,7.2002654169,0.2133122665,0.0128516846,0.0128516846,0.8736716592,-0.8736716592,False
full,shock_load,high_load,sac,safety_first,123,-0.8731695665,1.110223025e-16,2083.6837210639,0.0,1.2167419243,0.0,0.571214779,0.0,7.259982728,0.2880799213,1.2167419243,1.2167419243,0.571214779,-0.571214779,False
full,shock_load,shock_load,sac,safety_first,123,0.6868862694,0.0,1630.6859598416,0.0,0.012156999,1.734723476e-18,0.8750208786,0.0,7.2010946597,0.2125959789,0.012156999,0.012156999,0.8750208786,-0.8750208786,False
full,shock_load,low_load,sac,safety_first,123,0.4544725681,0.0,1135.3770036265,0.0,0.0,0.0,0.779420488,0.0,7.1133253785,0.1872069967,0.0,0.0,0.779420488,-0.779420488,False
full,shock_load,temperature_drop,sac,safety_first,123,0.682896885,1.110223025e-16,1625.3477459394,0.0,0.0135463703,0.0,0.8733692054,0.0,7.2002010361,0.2134348222,0.0135463703,0.0135463703,0.8733692054,-0.8733692054,False
full,shock_load,cold_winter,sac,safety_first,123,-1.5201065032,0.0,1499.9069350038,0.0,0.7651162791,0.0,-9.4493924511,1.0,7.1281436922,0.8013008439,0.7651162791,0.7651162791,-9.4493924511,9.4493924511,False
full,shock_load,recovery_test,sac,safety_first,123,0.6514612214,1.110223025e-16,1534.7416771899,0.0,0.0,0.0,0.8523330726,0.0,7.2213082014,0.1927022149,0.0,0.0,0.8523330726,-0.8523330726,False
full,shock_load,nominal,sac,safety_first,456,0.6900503536,1.110223025e-16,1641.7541425074,0.0,0.0232719694,0.0,0.872884253,0.0,7.2267085496,0.2049599451,0.0232719694,0.0232719694,0.872884253,-0.872884253,False
full,shock_load,high_load,sac,safety_first,456,-1.3841045299,2.220446049e-16,2091.9210227747,0.0,1.5265717263,0.0,0.573081394,0.0,7.2809522679,0.3048884052,1.5265717263,1.5265717263,0.573081394,-0.573081394,False
full,shock_load,shock_load,sac,safety_first,456,0.6924814189,0.0,1646.8962688142,0.0,0.0232719694,0.0,0.8739244115,0.0,7.2274658341,0.2044047567,0.0232719694,0.0232719694,0.8739244115,-0.8739244115,False
